food_id,name,cuisine,protein,flavor,spice_level,base,meal_type
F074,Food 74,Pakistani,Beef,Sour,Medium,Bread,Breakfast
F075,Food 75,Italian,Mutton,Creamy,Medium,Curry,Dinner
F076,Food 76,Pakistani,Chicken,Sweet,Low,Curry,Dinner
F077,Food 77,Pakistani,Chicken,Creamy,Medium,Bread,Dinner
F078,Food 78,Indian,Vegetarian,Creamy,Low,Pasta,Lunch
F079,Food 79,Italian,Chicken,Sour,Low,Curry,Lunch
F080,Food 80,Italian,Fish,Savory,High,Bread,Dinner
F081,Food 81,Mexican,Chicken,Sweet,High,Bread,Snack
F082,Food 82,Italian,Fish,Sweet,High,Noodles,Lunch
F083,Food 83,Indian,Fish,Spicy,High,Curry,Dinner
F084,Food 84,Indian,Vegetarian,Savory,Medium,Bread,Lunch
F085,Food 85,Indian,Vegetarian,Creamy,High,Bread,Snack
F086,Food 86,Indian,Fish,Spicy,High,Pasta,Lunch
F087,Food 87,Mexican,Chicken,Sweet,High,Curry,Dinner
F088,Food 88,Pakistani,Beef,Sweet,Low,Noodles,Lunch
F089,Food 89,Pakistani,Chicken,Spicy,Medium,Curry,Breakfast
F090,Food 90,Indian,Fish,Creamy,Low,Pasta,Snack
F091,Food 91,Indian,Beef,Spicy,High,Rice,Breakfast
F092,Food 92,Indian,Beef,Spicy,High,Curry,Snack
F093,Food 93,Pakistani,Vegetarian,Spicy,Low,Pasta,Lunch
F094,Food 94,Indian,Vegetarian,Creamy,High,Bread,Snack
F095,Food 95,Thai,Vegetarian,Sour,High,Pasta,Lunch
F096,Food 96,Mexican,Fish,Sour,Medium,Noodles,Dinner
F097,Food 97,Thai,Fish,Spicy,Medium,Pasta,Breakfast
F098,Food 98,Mexican,Mutton,Spicy,Medium,Bread,Dinner
F099,Food 99,Thai,Chicken,Spicy,Low,Noodles,Snack
F100,Food 100,Mexican,Beef,Spicy,Low,Pasta,Snack
