interaction_id,user_id,food_id,interaction_type,rating,timestamp
I00043,U006,F048,like,,2026-01-13T22:11:00
I00044,U022,F019,like,,2026-03-02T23:45:00
I00045,U009,F098,skip,,2026-01-01T02:42:00
I00046,U002,F033,like,,2026-03-19T18:00:00
I00047,U028,F015,dislike,,2026-01-16T01:37:00
I00048,U016,F054,skip,,2026-01-09T03:47:00
I00049,U032,F077,skip,,2026-03-15T08:15:00
I00050,U046,F019,dislike,,2026-02-15T08:12:00
I00051,U037,F054,save,,2026-03-09T12:18:00
I00052,U005,F068,skip,,2026-03-06T18:54:00
I00053,U002,F050,dislike,,2026-02-19T12:44:00
I00054,U017,F096,click,,2026-02-14T08:13:00
I00055,U047,F085,skip,,2026-02-12T04:33:00
I00056,U003,F046,click,,2026-01-23T23:22:00
I00057,U030,F090,like,,2026-01-18T02:09:00
I00058,U046,F100,dislike,,2026-01-26T01:29:00
I00059,U013,F006,like,,2026-02-20T18:32:00
I00060,U031,F033,save,,2026-02-06T12:11:00
I00061,U050,F007,dislike,,2026-01-16T12:33:00
I00062,U028,F052,click,,2026-02-19T11:34:00
I00063,U012,F064,dislike,,2026-03-08T09:06:00
I00064,U006,F094,skip,,2026-01-24T18:37:00
I00065,U019,F042,like,,2026-02-07T10:27:00
I00066,U029,F078,dislike,,2026-02-26T11:59:00
I00067,U029,F006,click,,2026-03-20T14:50:00
I00068,U018,F082,click,,2026-01-10T22:54:00
I00069,U041,F052,click,,2026-03-28T05:27:00
I00070,U002,F019,skip,,2026-02-26T01:11:00
I00071,U009,F009,skip,,2026-02-16T13:04:00
I00072,U037,F005,save,,2026-02-17T12:41:00
I00073,U029,F098,like,,2026-02-16T13:35:00
I00074,U021,F084,rating,4,2026-01-24T17:02:00
I00075,U034,F050,dislike,,2026-02-03T15:13:00
I00076,U014,F079,rating,5,2026-01-26T04:11:00
I00077,U009,F010,click,,2026-02-26T02:59:00
I00078,U044,F041,skip,,2026-03-12T18:30:00
I00079,U019,F039,skip,,2026-03-31T21:46:00
I00080,U012,F047,dislike,,2026-01-26T04:44:00
I00081,U016,F064,save,,2026-02-17T15:57:00
I00082,U036,F017,like,,2026-02-09T13:35:00
I00083,U046,F093,skip,,2026-02-22T19:37:00
I00084,U005,F017,skip,,2026-02-27T15:54:00
I00085,U044,F067,click,,2026-03-12T21:50:00
I00086,U038,F024,dislike,,2026-03-06T01:53:00
I00087,U008,F067,like,,2026-02-11T07:41:00
I00088,U023,F067,click,,2026-02-02T06:42:00
I00089,U041,F071,save,,2026-03-20T18:12:00
I00090,U006,F065,skip,,2026-03-16T05:15:00
I00091,U011,F085,click,,2026-02-13T19:14:00
I00092,U003,F004,rating,5,2026-03-25T07:11:00
I00093,U050,F074,skip,,2026-03-05T21:24:00
I00094,U035,F038,dislike,,2026-02-01T23:22:00
I00095,U026,F039,save,,2026-01-21T15:00:00
I00096,U027,F062,like,,2026-01-19T10:40:00
I00097,U046,F041,click,,2026-02-21T04:27:00
I00098,U049,F048,dislike,,2026-01-31T15:55:00
I00099,U008,F035,dislike,,2026-01-07T09:54:00
I00100,U025,F079,rating,4,2026-02-11T19:43:00
I00101,U047,F041,like,,2026-03-07T15:56:00
I00102,U032,F040,dislike,,2026-02-20T17:15:00
I00103,U030,F031,like,,2026-01-07T09:36:00
I00104,U032,F077,skip,,2026-03-02T09:45:00
I00105,U035,F002,skip,,2026-02-03T12:29:00
I00106,U049,F052,skip,,2026-03-14T19:10:00
I00107,U013,F047,like,,2026-03-06T15:22:00
I00108,U049,F071,rating,4,2026-01-17T03:18:00
I00109,U026,F048,dislike,,2026-02-16T04:55:00
I00110,U013,F078,save,,2026-01-06T01:19:00
I00111,U009,F092,save,,2026-02-28T05:05:00
I00112,U039,F066,rating,5,2026-01-21T13:24:00
I00113,U040,F095,skip,,2026-03-06T17:23:00
I00114,U035,F063,dislike,,2026-01-03T12:34:00
I00115,U022,F087,like,,2026-02-09T23:29:00
I00116,U041,F004,like,,2026-03-25T19:44:00
I00117,U037,F030,skip,,2026-01-22T17:53:00
I00118,U041,F093,click,,2026-01-19T23:14:00
I00119,U016,F005,skip,,2026-01-25T00:38:00
I00120,U029,F041,skip,,2026-01-27T14:00:00
I00121,U033,F100,skip,,2026-01-08T04:42:00
I00122,U034,F027,click,,2026-03-03T17:56:00
I00123,U025,F041,skip,,2026-03-10T11:41:00
I00124,U035,F046,click,,2026-03-29T21:57:00
I00125,U045,F034,like,,2026-02-01T09:31:00
I00126,U036,F039,click,,2026-02-08T09:51:00
I00127,U046,F027,skip,,2026-03-03T11:54:00
I00128,U036,F093,like,,2026-03-28T18:32:00
I00129,U025,F051,click,,2026-01-19T09:54:00
I00130,U003,F037,dislike,,2026-02-26T22:23:00
I00131,U017,F096,dislike,,2026-03-10T09:15:00
I00132,U036,F090,like,,2026-03-17T08:10:00
I00133,U016,F007,skip,,2026-03-23T07:56:00
I00134,U004,F013,skip,,2026-01-13T23:15:00
I00135,U050,F018,save,,2026-01-21T13:53:00
I00136,U042,F061,like,,2026-02-06T10:57:00
I00137,U019,F083,click,,2026-03-25T19:35:00
I00138,U015,F069,click,,2026-01-05T05:58:00
I00139,U027,F023,dislike,,2026-02-20T16:54:00
I00140,U012,F096,click,,2026-01-05T00:18:00
I00141,U020,F073,click,,2026-02-12T09:42:00
I00142,U030,F083,save,,2026-01-18T17:12:00
I00143,U030,F035,like,,2026-01-21T15:39:00
I00144,U042,F033,dislike,,2026-02-13T10:04:00
I00145,U037,F087,dislike,,2026-03-23T13:50:00
I00146,U028,F066,like,,2026-01-13T06:18:00
I00147,U009,F062,like,,2026-02-03T13:05:00
I00148,U016,F058,click,,2026-02-08T19:52:00
I00149,U047,F074,save,,2026-03-30T08:03:00
I00150,U004,F086,like,,2026-02-21T23:25:00
I00151,U033,F091,skip,,2026-03-23T10:04:00
I00152,U024,F079,rating,5,2026-01-20T15:31:00
I00153,U048,F078,click,,2026-03-02T18:20:00
I00154,U043,F028,skip,,2026-03-18T02:47:00
I00155,U034,F058,like,,2026-03-14T03:49:00
I00156,U004,F071,dislike,,2026-03-10T05:06:00
I00157,U011,F042,skip,,2026-03-29T07:00:00
I00158,U046,F075,click,,2026-02-27T01:53:00
I00159,U030,F017,skip,,2026-01-08T19:04:00
I00160,U030,F087,skip,,2026-02-20T08:41:00
I00161,U001,F096,like,,2026-02-24T11:45:00
I00162,U045,F009,dislike,,2026-01-09T16:06:00
I00163,U003,F037,click,,2026-03-24T22:02:00
I00164,U027,F048,dislike,,2026-02-18T12:49:00
I00165,U006,F088,click,,2026-01-18T22:18:00
I00166,U023,F016,save,,2026-03-09T04:20:00
I00167,U047,F029,skip,,2026-02-08T15:48:00
I00168,U044,F093,skip,,2026-01-30T08:26:00
I00169,U030,F045,like,,2026-01-15T01:05:00
I00170,U043,F054,click,,2026-01-03T08:12:00
I00171,U014,F009,like,,2026-03-18T22:56:00
I00172,U046,F007,like,,2026-02-26T07:59:00
I00173,U035,F028,click,,2026-01-18T17:11:00
I00174,U019,F030,skip,,2026-02-10T19:42:00
I00175,U039,F099,dislike,,2026-02-08T04:53:00
I00176,U043,F067,like,,2026-01-08T19:00:00
I00177,U038,F095,skip,,2026-02-24T18:58:00
I00178,U032,F007,click,,2026-03-27T13:00:00
I00179,U034,F041,skip,,2026-02-08T12:50:00
I00180,U012,F097,dislike,,2026-01-29T10:15:00
I00181,U046,F019,click,,2026-03-13T14:05:00
I00182,U027,F072,dislike,,2026-02-02T06:56:00
I00183,U022,F083,like,,2026-02-17T03:09:00
I00184,U035,F093,dislike,,2026-02-18T22:59:00
I00185,U039,F078,like,,2026-03-17T22:55:00
I00186,U036,F028,click,,2026-02-12T10:20:00
I00187,U001,F028,click,,2026-01-16T16:20:00
I00188,U016,F090,dislike,,2026-01-31T18:50:00
I00189,U021,F100,save,,2026-03-25T12:15:00
I00190,U020,F034,click,,2026-03-01T03:21:00
I00191,U047,F061,dislike,,2026-01-27T12:39:00
I00192,U021,F053,click,,2026-01-19T00:33:00
I00193,U017,F071,skip,,2026-02-23T10:04:00
I00194,U010,F026,like,,2026-02-01T17:02:00
I00195,U036,F084,dislike,,2026-03-04T21:54:00
I00196,U048,F063,click,,2026-02-15T05:46:00
I00197,U009,F093,dislike,,2026-03-11T21:54:00
I00198,U004,F068,click,,2026-03-27T01:39:00
I00199,U049,F001,click,,2026-01-30T02:19:00
I00200,U046,F020,save,,2026-02-17T02:03:00
I00201,U040,F082,skip,,2026-03-03T22:30:00
I00202,U032,F003,save,,2026-01-02T00:34:00
I00203,U034,F093,rating,4,2026-03-06T23:49:00
I00204,U044,F056,click,,2026-01-14T03:17:00
I00205,U034,F020,save,,2026-02-02T12:05:00
I00206,U018,F051,rating,5,2026-03-14T08:18:00
I00207,U045,F029,click,,2026-01-11T22:18:00
I00208,U042,F098,like,,2026-02-18T18:51:00
I00209,U031,F008,skip,,2026-01-11T17:03:00
I00210,U028,F083,skip,,2026-01-13T18:01:00
I00211,U003,F030,click,,2026-03-14T16:13:00
I00212,U018,F006,skip,,2026-02-05T18:32:00
I00213,U037,F085,rating,5,2026-01-03T07:04:00
I00214,U038,F019,skip,,2026-02-20T02:37:00
I00215,U020,F021,skip,,2026-02-19T23:06:00
I00216,U035,F043,skip,,2026-03-30T02:40:00
I00217,U033,F096,dislike,,2026-02-25T07:55:00
I00218,U005,F044,skip,,2026-03-18T13:32:00
I00219,U050,F042,like,,2026-02-27T16:44:00
I00220,U015,F046,dislike,,2026-01-24T23:12:00
I00221,U038,F085,click,,2026-02-07T08:24:00
I00222,U046,F010,like,,2026-03-23T05:15:00
I00223,U048,F050,like,,2026-01-01T10:31:00
I00224,U029,F047,dislike,,2026-01-12T06:23:00
I00225,U028,F058,skip,,2026-01-14T00:53:00
I00226,U006,F046,skip,,2026-02-11T13:08:00
I00227,U001,F038,skip,,2026-03-13T08:17:00
I00228,U037,F067,like,,2026-01-18T09:10:00
I00229,U020,F035,dislike,,2026-02-25T09:25:00
I00230,U027,F039,dislike,,2026-02-02T08:25:00
I00231,U047,F081,save,,2026-02-28T03:39:00
I00232,U009,F039,like,,2026-03-21T12:58:00
I00233,U022,F057,click,,2026-03-25T20:17:00
I00234,U009,F039,rating,4,2026-03-03T10:43:00
I00235,U012,F051,dislike,,2026-03-30T21:36:00
I00236,U032,F074,dislike,,2026-02-05T13:24:00
I00237,U024,F015,dislike,,2026-03-11T06:08:00
I00238,U044,F099,click,,2026-03-01T07:09:00
I00239,U029,F038,dislike,,2026-02-22T22:58:00
I00240,U032,F018,dislike,,2026-03-26T05:15:00
I00241,U046,F055,dislike,,2026-03-18T16:21:00
I00242,U038,F052,click,,2026-03-30T14:16:00
I00243,U035,F005,dislike,,2026-03-10T20:16:00
I00244,U041,F011,like,,2026-03-27T12:07:00
I00245,U011,F083,save,,2026-03-24T23:07:00
I00246,U042,F052,dislike,,2026-02-25T03:36:00
I00247,U001,F013,save,,2026-03-08T19:02:00
I00248,U038,F089,skip,,2026-02-20T15:48:00
I00249,U050,F087,skip,,2026-02-14T00:50:00
I00250,U031,F014,rating,4,2026-01-15T04:50:00
I00251,U023,F040,click,,2026-03-08T16:29:00
I00252,U023,F061,click,,2026-02-27T10:53:00
I00253,U005,F039,click,,2026-01-03T11:42:00
I00254,U042,F014,dislike,,2026-02-01T17:36:00
I00255,U012,F071,save,,2026-03-01T07:54:00
I00256,U026,F081,save,,2026-02-25T13:30:00
I00257,U002,F095,dislike,,2026-03-17T14:39:00
I00258,U025,F001,dislike,,2026-01-09T19:42:00
I00259,U007,F069,like,,2026-02-28T03:53:00
I00260,U017,F086,skip,,2026-03-23T10:41:00
I00261,U039,F050,skip,,2026-02-14T12:00:00
I00262,U030,F080,save,,2026-02-08T20:58:00
I00263,U038,F011,dislike,,2026-01-31T10:25:00
I00264,U008,F024,dislike,,2026-02-19T14:16:00
I00265,U039,F018,skip,,2026-03-04T21:41:00
I00266,U035,F089,click,,2026-01-23T18:56:00
I00267,U011,F063,like,,2026-02-27T21:08:00
I00268,U004,F046,skip,,2026-01-25T13:06:00
I00269,U036,F065,skip,,2026-03-04T14:11:00
I00270,U046,F057,like,,2026-01-04T07:31:00
I00271,U019,F005,save,,2026-01-22T15:36:00
I00272,U037,F096,skip,,2026-03-07T03:51:00
I00273,U037,F015,save,,2026-02-16T18:30:00
I00274,U049,F006,skip,,2026-01-28T14:30:00
I00275,U007,F095,skip,,2026-02-08T01:06:00
I00276,U029,F034,click,,2026-02-26T04:00:00
I00277,U050,F031,click,,2026-03-30T11:58:00
I00278,U046,F079,dislike,,2026-01-18T07:03:00
I00279,U014,F008,skip,,2026-03-18T18:23:00
I00280,U011,F042,dislike,,2026-03-15T09:07:00
I00281,U033,F087,dislike,,2026-02-22T02:01:00
I00282,U018,F084,click,,2026-02-01T04:59:00
I00283,U046,F042,skip,,2026-03-28T13:24:00
I00284,U032,F019,like,,2026-02-23T12:48:00
I00285,U029,F010,click,,2026-01-12T13:45:00
I00286,U033,F096,rating,5,2026-02-28T16:39:00
I00287,U021,F075,click,,2026-01-12T15:38:00
I00288,U041,F086,click,,2026-03-10T13:34:00
I00289,U014,F055,skip,,2026-02-11T09:40:00
I00290,U022,F071,skip,,2026-03-04T11:43:00
I00291,U044,F098,like,,2026-02-28T00:33:00
I00292,U008,F021,dislike,,2026-02-24T06:54:00
I00293,U045,F017,dislike,,2026-02-05T03:11:00
I00294,U042,F047,dislike,,2026-03-25T05:38:00
I00295,U004,F051,skip,,2026-01-30T14:39:00
I00296,U042,F012,dislike,,2026-03-03T02:39:00
I00297,U009,F076,save,,2026-01-02T00:16:00
I00298,U045,F044,rating,5,2026-03-30T04:30:00
I00299,U031,F010,like,,2026-01-14T03:31:00
I00300,U021,F048,dislike,,2026-01-18T21:53:00
I00301,U044,F019,save,,2026-03-20T22:11:00
I00302,U011,F057,like,,2026-01-20T14:03:00
I00303,U040,F088,like,,2026-01-13T04:46:00
I00304,U049,F016,dislike,,2026-02-24T10:44:00
I00305,U009,F032,like,,2026-03-12T20:30:00
I00306,U039,F093,skip,,2026-03-30T00:54:00
I00307,U043,F039,save,,2026-01-25T13:22:00
I00308,U019,F083,click,,2026-01-31T16:53:00
I00309,U025,F015,save,,2026-01-10T18:01:00
I00310,U001,F047,dislike,,2026-03-14T14:21:00
I00311,U024,F070,skip,,2026-01-10T00:34:00
I00312,U038,F009,like,,2026-01-08T13:35:00
I00313,U033,F037,skip,,2026-02-23T14:27:00
I00314,U045,F052,save,,2026-03-20T05:12:00
I00315,U018,F011,skip,,2026-01-27T05:18:00
I00316,U035,F042,skip,,2026-03-25T23:14:00
I00317,U042,F009,like,,2026-01-31T01:58:00
I00318,U016,F012,dislike,,2026-03-20T20:46:00
I00319,U004,F040,skip,,2026-01-23T04:04:00
I00320,U001,F091,like,,2026-03-05T11:50:00
I00321,U034,F067,skip,,2026-01-22T12:41:00
I00322,U009,F096,dislike,,2026-01-16T01:00:00
I00323,U022,F055,like,,2026-03-15T21:25:00
I00324,U005,F064,dislike,,2026-03-05T19:20:00
I00325,U011,F048,click,,2026-03-15T23:00:00
I00326,U047,F015,skip,,2026-01-06T00:25:00
I00327,U016,F006,like,,2026-01-20T06:06:00
I00328,U003,F071,skip,,2026-03-25T14:18:00
I00329,U015,F042,rating,5,2026-02-04T02:39:00
I00330,U037,F048,save,,2026-01-07T06:07:00
I00331,U015,F067,click,,2026-01-09T15:52:00
I00332,U019,F100,dislike,,2026-03-12T15:35:00
I00333,U001,F048,save,,2026-02-08T21:15:00
I00334,U016,F060,rating,4,2026-03-11T08:22:00
I00335,U010,F001,dislike,,2026-03-11T11:49:00
I00336,U041,F089,click,,2026-01-01T22:26:00
I00337,U025,F095,dislike,,2026-03-09T08:07:00
I00338,U027,F063,click,,2026-01-19T09:33:00
I00339,U006,F006,click,,2026-03-08T14:05:00
I00340,U045,F048,click,,2026-03-16T03:15:00
I00341,U033,F018,dislike,,2026-03-17T19:22:00
I00342,U004,F056,dislike,,2026-02-07T08:54:00
I00343,U021,F051,skip,,2026-02-10T15:27:00
I00344,U018,F030,like,,2026-03-16T03:43:00
I00345,U010,F014,save,,2026-02-22T04:07:00
I00346,U035,F046,dislike,,2026-02-09T15:48:00
I00347,U017,F016,click,,2026-02-08T23:47:00
I00348,U039,F006,click,,2026-01-19T03:06:00
I00349,U046,F032,dislike,,2026-01-07T23:06:00
I00350,U020,F034,dislike,,2026-02-21T15:26:00
I00351,U036,F096,like,,2026-01-14T04:46:00
I00352,U008,F002,click,,2026-01-29T04:27:00
I00353,U013,F052,save,,2026-03-24T02:52:00
I00354,U038,F076,click,,2026-01-03T02:12:00
I00355,U013,F083,dislike,,2026-02-12T04:10:00
I00356,U003,F060,rating,5,2026-02-20T16:56:00
I00357,U002,F049,dislike,,2026-01-28T06:23:00
I00358,U018,F036,dislike,,2026-03-20T21:08:00
I00359,U040,F032,skip,,2026-03-12T16:21:00
I00360,U004,F012,like,,2026-01-26T21:56:00
I00361,U034,F032,click,,2026-01-03T13:03:00
I00362,U046,F046,skip,,2026-02-14T19:18:00
I00363,U033,F042,dislike,,2026-02-10T20:22:00
I00364,U015,F004,skip,,2026-01-08T16:06:00
I00365,U034,F046,rating,4,2026-01-13T08:27:00
I00366,U043,F031,click,,2026-01-08T07:29:00
I00367,U037,F050,click,,2026-01-23T06:00:00
I00368,U016,F076,click,,2026-02-15T20:11:00
I00369,U002,F091,click,,2026-03-14T04:51:00
I00370,U037,F025,click,,2026-03-05T18:30:00
I00371,U020,F023,dislike,,2026-01-30T20:32:00
I00372,U015,F003,dislike,,2026-03-20T06:52:00
I00373,U009,F044,click,,2026-02-11T02:01:00
I00374,U002,F019,click,,2026-01-15T17:57:00
I00375,U024,F010,rating,5,2026-03-17T03:26:00
I00376,U022,F039,rating,5,2026-03-23T16:37:00
I00377,U042,F041,rating,5,2026-01-29T22:43:00
I00378,U038,F023,skip,,2026-02-07T04:20:00
I00379,U012,F094,click,,2026-03-15T13:21:00
I00380,U050,F073,save,,2026-03-20T07:32:00
I00381,U041,F073,save,,2026-02-12T02:39:00
I00382,U016,F045,dislike,,2026-01-12T22:52:00
I00383,U041,F094,skip,,2026-02-03T07:09:00
I00384,U016,F089,like,,2026-01-14T00:02:00
I00385,U004,F050,skip,,2026-01-22T14:07:00
I00386,U032,F049,like,,2026-03-03T19:43:00
I00387,U042,F098,dislike,,2026-01-10T01:08:00
I00388,U019,F003,rating,4,2026-02-13T05:48:00
I00389,U025,F021,skip,,2026-01-12T11:32:00
I00390,U039,F079,skip,,2026-02-25T22:18:00
I00391,U011,F078,dislike,,2026-01-13T11:18:00
I00392,U014,F025,skip,,2026-03-11T09:03:00
I00393,U043,F037,like,,2026-02-20T19:30:00
I00394,U036,F063,like,,2026-02-24T02:59:00
I00395,U019,F085,skip,,2026-01-13T00:52:00
I00396,U014,F022,click,,2026-03-02T03:56:00
I00397,U020,F051,click,,2026-02-03T03:06:00
I00398,U042,F070,dislike,,2026-02-18T12:36:00
I00399,U012,F058,like,,2026-02-03T07:43:00
I00400,U018,F073,click,,2026-03-27T03:18:00
I00401,U006,F086,skip,,2026-03-17T07:45:00
I00402,U036,F008,click,,2026-02-23T18:16:00
I00403,U044,F061,dislike,,2026-02-08T02:41:00
I00404,U026,F092,save,,2026-03-08T19:30:00
I00405,U044,F080,rating,5,2026-01-23T05:42:00
I00406,U014,F025,like,,2026-03-29T14:51:00
I00407,U013,F081,save,,2026-02-10T02:17:00
I00408,U006,F050,skip,,2026-02-05T17:44:00
I00409,U030,F002,skip,,2026-03-08T14:19:00
I00410,U008,F054,save,,2026-03-16T03:25:00
I00411,U007,F073,click,,2026-03-10T11:44:00
I00412,U027,F034,skip,,2026-03-19T16:08:00
I00413,U003,F023,like,,2026-03-19T23:14:00
I00414,U045,F052,click,,2026-02-12T23:34:00
I00415,U016,F007,click,,2026-02-17T00:41:00
I00416,U022,F039,click,,2026-03-31T23:22:00
I00417,U007,F030,rating,5,2026-02-11T09:11:00
I00418,U047,F054,dislike,,2026-02-26T07:12:00
I00419,U027,F095,save,,2026-02-17T01:55:00
I00420,U033,F021,click,,2026-02-21T04:37:00
I00421,U050,F068,dislike,,2026-01-25T06:51:00
I00422,U004,F032,like,,2026-02-16T06:47:00
I00423,U018,F048,skip,,2026-03-23T04:13:00
I00424,U044,F004,save,,2026-02-27T06:03:00
I00425,U031,F076,dislike,,2026-02-03T23:30:00
I00426,U006,F037,like,,2026-03-15T07:18:00
I00427,U015,F083,like,,2026-03-25T13:58:00
I00428,U033,F003,click,,2026-03-29T00:18:00
I00429,U031,F017,save,,2026-01-02T07:38:00
I00430,U017,F078,dislike,,2026-03-24T09:23:00
I00431,U028,F049,skip,,2026-01-28T15:55:00
I00432,U020,F087,skip,,2026-03-16T03:29:00
I00433,U001,F066,click,,2026-02-17T19:09:00
I00434,U042,F077,like,,2026-01-14T16:26:00
I00435,U005,F044,skip,,2026-02-05T08:54:00
I00436,U042,F092,skip,,2026-01-25T05:07:00
I00437,U034,F098,like,,2026-03-18T13:47:00
I00438,U043,F041,skip,,2026-03-25T16:58:00
I00439,U019,F034,skip,,2026-01-05T19:54:00
I00440,U046,F074,dislike,,2026-01-29T23:25:00
I00441,U035,F082,rating,5,2026-03-06T10:14:00
I00442,U011,F085,dislike,,2026-01-13T16:04:00
I00443,U009,F095,click,,2026-01-24T23:12:00
I00444,U022,F084,like,,2026-02-09T14:21:00
I00445,U022,F048,like,,2026-01-16T16:03:00
I00446,U004,F082,click,,2026-01-10T16:07:00
I00447,U013,F065,save,,2026-03-09T10:11:00
I00448,U027,F007,dislike,,2026-01-26T11:41:00
I00449,U027,F073,click,,2026-01-19T10:47:00
I00450,U046,F024,skip,,2026-03-22T06:02:00
I00451,U021,F082,save,,2026-01-27T05:45:00
I00452,U037,F098,click,,2026-01-12T04:25:00
I00453,U040,F056,skip,,2026-03-03T13:05:00
I00454,U001,F005,skip,,2026-01-02T10:59:00
I00455,U049,F068,save,,2026-03-22T08:29:00
I00456,U015,F089,dislike,,2026-01-14T13:05:00
I00457,U033,F076,like,,2026-01-06T10:10:00
I00458,U019,F059,skip,,2026-02-13T14:48:00
I00459,U044,F018,rating,5,2026-01-25T05:37:00
I00460,U026,F003,click,,2026-01-17T07:12:00
I00461,U047,F003,dislike,,2026-02-16T22:12:00
I00462,U003,F049,dislike,,2026-03-10T21:16:00
I00463,U004,F077,skip,,2026-03-25T00:40:00
I00464,U004,F089,skip,,2026-01-16T18:40:00
I00465,U017,F061,dislike,,2026-03-29T21:30:00
I00466,U001,F039,dislike,,2026-03-08T09:12:00
I00467,U040,F078,skip,,2026-01-14T17:27:00
I00468,U047,F080,like,,2026-01-14T16:59:00
I00469,U013,F078,like,,2026-03-08T06:53:00
I00470,U023,F091,dislike,,2026-03-12T16:56:00
I00471,U014,F089,dislike,,2026-01-01T00:26:00
I00472,U043,F012,click,,2026-03-27T16:51:00
I00473,U010,F012,like,,2026-01-13T08:44:00
I00474,U042,F030,click,,2026-02-03T15:50:00
I00475,U004,F013,click,,2026-02-07T12:17:00
I00476,U044,F041,like,,2026-01-06T00:19:00
I00477,U009,F085,like,,2026-02-26T21:13:00
I00478,U018,F094,click,,2026-01-24T03:53:00
I00479,U026,F052,dislike,,2026-02-19T23:32:00
I00480,U031,F054,click,,2026-01-15T04:31:00
I00481,U045,F093,rating,4,2026-01-14T14:12:00
I00482,U038,F062,skip,,2026-01-24T20:51:00
I00483,U025,F100,like,,2026-03-29T04:27:00
I00484,U031,F063,like,,2026-01-06T02:09:00
I00485,U017,F084,click,,2026-03-28T17:54:00
I00486,U050,F096,skip,,2026-03-27T11:32:00
I00487,U034,F067,skip,,2026-02-25T22:35:00
I00488,U047,F032,skip,,2026-03-24T13:08:00
I00489,U010,F072,skip,,2026-01-02T21:57:00
I00490,U011,F065,click,,2026-01-22T02:33:00
I00491,U049,F063,like,,2026-02-05T01:43:00
I00492,U033,F029,dislike,,2026-01-31T02:41:00
I00493,U030,F057,skip,,2026-03-05T15:15:00
I00494,U021,F016,skip,,2026-01-03T03:30:00
I00495,U026,F053,save,,2026-01-12T20:37:00
I00496,U040,F082,save,,2026-01-27T22:20:00
I00497,U043,F059,dislike,,2026-01-07T07:36:00
I00498,U030,F043,save,,2026-03-02T22:25:00
I00499,U024,F092,like,,2026-03-26T07:34:00
I00500,U001,F044,skip,,2026-02-07T18:41:00
I00501,U034,F048,dislike,,2026-01-22T16:48:00
I00502,U009,F092,skip,,2026-02-02T20:51:00
I00503,U013,F025,click,,2026-01-28T15:36:00
I00504,U013,F092,click,,2026-01-06T21:36:00
I00505,U044,F076,click,,2026-02-28T22:28:00
I00506,U038,F065,save,,2026-03-09T01:39:00
I00507,U036,F056,skip,,2026-03-07T06:02:00
I00508,U045,F075,click,,2026-01-14T13:13:00
I00509,U043,F077,like,,2026-02-19T14:17:00
I00510,U039,F089,dislike,,2026-02-13T10:02:00
I00511,U029,F018,save,,2026-03-07T10:12:00
I00512,U045,F071,skip,,2026-03-12T21:35:00
I00513,U014,F026,click,,2026-03-29T11:47:00
I00514,U044,F017,skip,,2026-01-23T17:11:00
I00515,U035,F089,skip,,2026-02-15T19:11:00
I00516,U031,F075,skip,,2026-02-23T23:00:00
I00517,U048,F069,click,,2026-01-02T17:50:00
I00518,U007,F004,dislike,,2026-01-08T06:49:00
I00519,U018,F097,click,,2026-03-29T08:33:00
I00520,U010,F008,dislike,,2026-03-11T01:06:00
