food_id,restaurant_id,restaurant,name,description,category,dish_type,spice_level,spice_level_raw,food_type,meal_type,dietary_tags,price,price_flag,currency,rating,city,area,image_url,source,veg_status,semantic_text,cuisine,protein,flavor,base
x8l5__coke-zero,x8l5,A1 Tasty Halal Cart - Gulberg,Coke Zero,Chilled sugar free carbonated cola beverage delivering classic taste without the calories.,Drinks,beverage,none,0,beverage,anytime,halal,175.5,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74392327.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Coke Zero — Drinks category, beverage dish, vegetarian, halal, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",Cafe,none,sweet,beverage
x8l5__fanta,x8l5,A1 Tasty Halal Cart - Gulberg,Fanta,Sweet and fruity carbonated orange soda served cold for a refreshing drink.,Drinks,beverage,none,0,beverage,anytime,halal,175.5,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74392330.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Fanta — Drinks category, beverage dish, vegetarian, halal, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",Cafe,none,sweet,beverage
x8l5__fattoush,x8l5,A1 Tasty Halal Cart - Gulberg,Fattoush,"Traditional Levantine garden salad of fresh greens, radishes, tomatoes, and crispy fried pita chips.",Salad,sides,none,0,appetizer,lunch,halal,720.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/78210597.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Fattoush — Salad category, appetizer dish, vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",middle eastern,vegetarian,fresh,bread
x8l5__fattoush-with-feta,x8l5,A1 Tasty Halal Cart - Gulberg,Fattoush With Feta,Crisp Middle Eastern salad topped with crunchy pita chips and crumbled salty feta cheese.,Salad,sides,none,0,appetizer,lunch,halal,900.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/78210595.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Fattoush With Feta — Salad category, appetizer dish, vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",middle eastern,vegetarian,fresh,bread
x8l5__grilled-chicken-over-rice,x8l5,A1 Tasty Halal Cart - Gulberg,Grilled Chicken Over Rice,Tender grilled chicken pieces served over spiced yellow rice with white and hot sauces.,Bowls,,none,0,main,lunch,halal,1116.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/72663901.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Grilled Chicken Over Rice — Bowls category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,chicken,smoky,rice
x8l5__herb-sauce,x8l5,A1 Tasty Halal Cart - Gulberg,Herb Sauce,Zesty dipping sauce loaded with fresh green herbs and olive oil for rich enhancement.,Add Ons,,none,0,sauce_condiment,anytime,halal,90.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74310601.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Herb Sauce — Add Ons category, sauce_condiment dish, vegetarian, halal, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,none,fresh,none
x8l5__hummus,x8l5,A1 Tasty Halal Cart - Gulberg,Hummus,"Smooth Middle Eastern dip crafted from blended chickpeas, tahini, garlic, and lemon juice.",Appetizers,,none,0,appetizer,snack,halal,756.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/78210594.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Hummus — Appetizers category, appetizer dish, vegetarian, halal, none spice level, snack meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,vegetarian,sour,none
x8l5__mandi-sauce,x8l5,A1 Tasty Halal Cart - Gulberg,Mandi Sauce,Spicy tomato salsa dip infused with garlic and green chilies to accompany rice dishes.,Add Ons,,mild,1,sauce_condiment,anytime,halal,90.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74310597.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Mandi Sauce — Add Ons category, sauce_condiment dish, vegetarian, halal, mild spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,none,savory,none
x8l5__mixed-grill-over-salad,x8l5,A1 Tasty Halal Cart - Gulberg,Mixed Grill Over Salad,Assorted grilled meats served on a bed of fresh garden salad with savory dressing.,Salad,sides,none,0,main,lunch,halal,1080.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/products/83714058.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Mixed Grill Over Salad — Salad category, main dish, vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,vegetarian,smoky,salad
x8l5__mixed-gyro,x8l5,A1 Tasty Halal Cart - Gulberg,Mixed Gyro,Combination of spiced beef and chicken served in warm pita with fresh vegetables and sauce.,Gyro,,none,0,main,lunch,halal,1206.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/82580634.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Mixed Gyro — Gyro category, main dish, non-vegetarian, halal, none spice level, lunch meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,mixed,fresh,bread
x8l5__roasted-potatoes,x8l5,A1 Tasty Halal Cart - Gulberg,Roasted Potatoes,"Roasted Potatoes is a appetizer item from A1 Tasty Halal Cart - Gulberg, listed under the Appetizers menu.",Appetizers,,none,0,appetizer,snack,vegetarian,405.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/80986920.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Roasted Potatoes — Appetizers category, appetizer dish, vegetarian, none spice level, snack meal, served at A1 Tasty Halal Cart - Gulberg.",unknown,vegetarian,smoky,potato
x8l5__sprite,x8l5,A1 Tasty Halal Cart - Gulberg,Sprite,"Sprite is a beverage item from A1 Tasty Halal Cart - Gulberg, listed under the Drinks menu.",Drinks,beverage,none,0,beverage,anytime,vegetarian,175.5,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74392328.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Sprite — Drinks category, beverage dish, vegetarian, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",Cafe,none,unknown,beverage
x8l5__sprite-zero,x8l5,A1 Tasty Halal Cart - Gulberg,Sprite Zero,"Sprite Zero is a beverage item from A1 Tasty Halal Cart - Gulberg, listed under the Drinks menu.",Drinks,beverage,none,0,beverage,anytime,vegetarian,175.5,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74392329.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Sprite Zero — Drinks category, beverage dish, vegetarian, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",Cafe,none,unknown,beverage
x8l5__sweet-lokma-bites,x8l5,A1 Tasty Halal Cart - Gulberg,Sweet Lokma Bites,"Sweet Lokma Bites is a dessert item from A1 Tasty Halal Cart - Gulberg, listed under the Appetizers menu.",Appetizers,,none,0,dessert,anytime,none,720.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/81228813.jpg,foodpanda/deliveryhero aggregator scrape,uncertain,"Sweet Lokma Bites — Appetizers category, dessert dish, vegetarian status unclear, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",Dessert,unknown,sweet,unknown
x8l5__toum-sauce,x8l5,A1 Tasty Halal Cart - Gulberg,Toum Sauce,"Toum Sauce is a sauce_condiment item from A1 Tasty Halal Cart - Gulberg, listed under the Add Ons menu.",Add Ons,,none,0,sauce_condiment,anytime,none,90.0,,PKR,4.9,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/74310600.jpg,foodpanda/deliveryhero aggregator scrape,uncertain,"Toum Sauce — Add Ons category, sauce_condiment dish, vegetarian status unclear, none spice level, anytime meal, served at A1 Tasty Halal Cart - Gulberg.",Middle Eastern,none,unknown,none
x97o__biryani-cola-next-deal,x97o,Biryani Master -Gulberg,Biryani Cola Next Deal,"Biryani Cola Next Deal is a beverage item from Biryani Master -Gulberg, listed under the Deals menu.",Deals,biryani,none,0,beverage,anytime,halal,757.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/40268972/41b8001f-e118-481c-800d-36df3179cb99.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Biryani Cola Next Deal — Deals category, beverage dish, non-vegetarian, halal, none spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,none,unknown,rice
x97o__chicken-biryani-single,x97o,Biryani Master -Gulberg,Chicken Biryani -Single,"Chicken Biryani -Single is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,biryani,none,0,main,anytime,halal,450.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347131/723465c6-3891-4a12-8fc5-710ead12be0f.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Biryani -Single — Rice category, main dish, non-vegetarian, halal, none spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,unknown,rice
x97o__chicken-kabab,x97o,Biryani Master -Gulberg,Chicken Kabab,"Chicken Kabab is a main item from Biryani Master -Gulberg, listed under the Bar Bq menu.",Bar Bq,bbq,none,0,main,anytime,halal,640.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/7423201.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Kabab — Bar Bq category, main dish, non-vegetarian, halal, none spice level, anytime meal, served at Biryani Master -Gulberg.",Middle Eastern,chicken,unknown,rice
x97o__chicken-kabab-biryani,x97o,Biryani Master -Gulberg,Chicken Kabab Biryani,"Chicken Kabab Biryani is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,none,0,main,anytime,halal,670.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347141/b9194573-dcab-4e33-81c8-a02beabb1557.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Kabab Biryani — Rice category, main dish, non-vegetarian, halal, none spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,unknown,rice
x97o__chicken-kabab-pulao,x97o,Biryani Master -Gulberg,Chicken Kabab Pulao,"Chicken Kabab Pulao is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,none,0,main,anytime,halal,670.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347142/d6628710-4c34-48f0-9c50-548ed0dbd810.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Kabab Pulao — Rice category, main dish, non-vegetarian, halal, none spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,unknown,rice
x97o__chicken-malai-tikka-chest,x97o,Biryani Master -Gulberg,Chicken Malai Tikka Chest,"Chicken Malai Tikka Chest is a main item from Biryani Master -Gulberg, listed under the Bar Bq menu.",Bar Bq,bbq,mild,1,main,anytime,halal,560.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347153/f585af8c-2ccf-415b-92a2-b651330715a7.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Malai Tikka Chest — Bar Bq category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,creamy,rice
x97o__chicken-malai-tikka-leg,x97o,Biryani Master -Gulberg,Chicken Malai Tikka Leg,"Chicken Malai Tikka Leg is a main item from Biryani Master -Gulberg, listed under the Bar Bq menu.",Bar Bq,bbq,mild,1,main,anytime,halal,510.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347152/8a6e47b1-d106-43a0-8264-af916a2f7adc.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Malai Tikka Leg — Bar Bq category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,creamy,rice
x97o__chicken-pulao-single,x97o,Biryani Master -Gulberg,Chicken Pulao - Single,"Chicken Pulao - Single is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,biryani,mild,1,main,anytime,halal,450.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347132/eae1ab2a-b054-4a34-b382-e788c48cf57b.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Pulao - Single — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,unknown,rice
x97o__chicken-tikka-chest,x97o,Biryani Master -Gulberg,Chicken Tikka Chest,"Chicken Tikka Chest is a main item from Biryani Master -Gulberg, listed under the Bar Bq menu.",Bar Bq,bbq,mild,1,main,anytime,halal,520.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347151/c49e5857-337a-40fb-90a2-1237c8df7fb3.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Tikka Chest — Bar Bq category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,smoky,rice
x97o__chicken-tikka-chest-biryani,x97o,Biryani Master -Gulberg,Chicken Tikka Chest Biryani,"Chicken Tikka Chest Biryani is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,mild,1,main,anytime,halal,730.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347136/6908c740-6eca-4bc3-b4e9-ddda110074eb.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Tikka Chest Biryani — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,smoky,rice
x97o__chicken-tikka-chest-pulao,x97o,Biryani Master -Gulberg,Chicken Tikka Chest Pulao,"Chicken Tikka Chest Pulao is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,mild,1,main,anytime,halal,730.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347138/b3adc046-9b9e-48fc-9c3e-11c935d45c7c.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Tikka Chest Pulao — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,smoky,rice
x97o__chicken-tikka-leg,x97o,Biryani Master -Gulberg,Chicken Tikka Leg,"Chicken Tikka Leg is a main item from Biryani Master -Gulberg, listed under the Bar Bq menu.",Bar Bq,bbq,mild,1,main,anytime,halal,500.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347150/0d00c169-becc-4a8c-b043-55f551202e96.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Tikka Leg — Bar Bq category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,smoky,rice
x97o__chicken-tikka-leg-biryani,x97o,Biryani Master -Gulberg,Chicken Tikka Leg Biryani,"Chicken Tikka Leg Biryani is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,mild,1,main,anytime,halal,700.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347135/767d8389-7f81-45cf-9798-ea5538a46a16.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Tikka Leg Biryani — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,smoky,rice
x97o__chicken-tikka-leg-pulao,x97o,Biryani Master -Gulberg,Chicken Tikka Leg Pulao,"Chicken Tikka Leg Pulao is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,mild,1,main,anytime,halal,700.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347137/a209b7b9-f6ff-4eb3-b3a5-75edb3a9cebe.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Chicken Tikka Leg Pulao — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,chicken,smoky,rice
x97o__cola-next-1-5-litre,x97o,Biryani Master -Gulberg,Cola Next - 1.5 Litre,"Cola Next - 1.5 Litre is a beverage item from Biryani Master -Gulberg, listed under the Drinks menu.",Drinks,beverage,none,0,beverage,anytime,vegetarian,260.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/Products/22111121.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Cola Next - 1.5 Litre — Drinks category, beverage dish, vegetarian, none spice level, anytime meal, served at Biryani Master -Gulberg.",Cafe,none,unknown,beverage
x97o__cola-next-regular,x97o,Biryani Master -Gulberg,Cola Next Regular,"Cola Next Regular is a beverage item from Biryani Master -Gulberg, listed under the Drinks menu.",Drinks,beverage,none,0,beverage,anytime,vegetarian,120.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/products/22111123.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Cola Next Regular — Drinks category, beverage dish, vegetarian, none spice level, anytime meal, served at Biryani Master -Gulberg.",Cafe,none,unknown,beverage
x97o__duo-cola-next-deal,x97o,Biryani Master -Gulberg,Duo Cola Next Deal,"Duo Cola Next Deal is a beverage item from Biryani Master -Gulberg, listed under the Deals menu.",Deals,beverage,none,0,beverage,anytime,none,1514.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/40268991/da51b039-d8c5-4cfc-99d7-24e021c6b987.jpg,foodpanda/deliveryhero aggregator scrape,uncertain,"Duo Cola Next Deal — Deals category, beverage dish, vegetarian status unclear, none spice level, anytime meal, served at Biryani Master -Gulberg.",Cafe,none,unknown,beverage
x97o__fizup-next-1-5-litre,x97o,Biryani Master -Gulberg,Fizup Next - 1.5 Litre,"Fizup Next - 1.5 Litre is a beverage item from Biryani Master -Gulberg, listed under the Drinks menu.",Drinks,beverage,none,0,beverage,anytime,vegetarian,260.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/products/22111122.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Fizup Next - 1.5 Litre — Drinks category, beverage dish, vegetarian, none spice level, anytime meal, served at Biryani Master -Gulberg.",Cafe,none,unknown,beverage
x97o__fizup-next-regular,x97o,Biryani Master -Gulberg,Fizup Next Regular,"Fizup Next Regular is a beverage item from Biryani Master -Gulberg, listed under the Drinks menu.",Drinks,beverage,none,0,beverage,anytime,vegetarian,120.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/fd-pk/products/22111124.jpg,foodpanda/deliveryhero aggregator scrape,vegetarian,"Fizup Next Regular — Drinks category, beverage dish, vegetarian, none spice level, anytime meal, served at Biryani Master -Gulberg.",Cafe,none,unknown,beverage
x97o__malai-tikka-chest-biryani,x97o,Biryani Master -Gulberg,Malai Tikka Chest Biryani,"Malai Tikka Chest Biryani is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,mild,1,main,anytime,halal,740.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347140/81742dc0-14db-460a-aa47-795ed847ca8b.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Malai Tikka Chest Biryani — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,unknown,creamy,rice
x97o__malai-tikka-chest-pulao,x97o,Biryani Master -Gulberg,Malai Tikka Chest Pulao,"Malai Tikka Chest Pulao is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,mild,1,main,anytime,halal,889.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347145/adc337bd-8271-4b9f-8ea8-1d501500a351.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Malai Tikka Chest Pulao — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,unknown,creamy,rice
x97o__malai-tikka-leg-biryani,x97o,Biryani Master -Gulberg,Malai Tikka Leg Biryani,"Malai Tikka Leg Biryani is a main item from Biryani Master -Gulberg, listed under the Rice menu.",Rice,bbq,mild,1,main,anytime,halal,720.0,,PKR,4.8,Lahore,Gulberg,https://images.deliveryhero.io/image/global-menu-service/FP_PK/vendor/x97o/product/24347139/9c760266-c01a-429d-b59e-3f6d079b41e2.jpg,foodpanda/deliveryhero aggregator scrape,non_vegetarian,"Malai Tikka Leg Biryani — Rice category, main dish, non-vegetarian, halal, mild spice level, anytime meal, served at Biryani Master -Gulberg.",Pakistani,unknown,creamy,rice
